n,species_original,species_corrected,taxon_pladias,Light,Temperature,Moisture,Reaction,Nutrients,Salinity,woody_plant
418,Sp. sp. (teeth leaves),Sp. sp. (teeth leaves),NA,NA,NA,NA,NA,NA,NA,0
419,Stachys recta,Stachys recta,Stachys recta,7,6,3,8,3,0,0
420,Stellaria media agg.,Stellaria media agg.,Stellaria media agg.,6,5,5,6,8,1,0
421,Stipa capillata,Stipa capillata,Stipa capillata,9,7,2,8,2,0,0
422,Stipa cf. pulcherrima,Stipa pulcherrima,Stipa pulcherrima,9,7,2,8,2,0,0
423,Stipa cf. pulcherrima/pennata,Stipa pennata agg.,Stipa pennata agg.,9,7,2,7,2,0,0
424,Stipa dasyphylla,Stipa dasyphylla,Stipa dasyphylla,9,7,2,7,2,0,0
425,Stipa pennata,Stipa pennata,Stipa pennata,8,7,2,7,2,0,0
426,Stipa pennata agg.,Stipa pennata agg.,Stipa pennata agg.,9,7,2,7,2,0,0
427,Stipa pulcherrima,Stipa pulcherrima,Stipa pulcherrima,9,7,2,8,2,0,0
428,Stipa tirsa,Stipa tirsa,Stipa tirsa,8,7,3,7,3,0,0
429,Tanacetum corymbosum,Tanacetum corymbosum,Tanacetum corymbosum,6,7,4,7,4,0,0
430,Tanacetum vulgare,Tanacetum vulgare,Tanacetum vulgare,7,6,5,7,6,1,0
431,Taraxacum sect. Taraxacum,Taraxacum sect. Taraxacum,Taraxacum sect. Taraxacum,7,5,5,7,7,1,0
432,Taraxacum sp.,Taraxacum sp.,NA,NA,NA,NA,NA,NA,NA,0
433,Tephroseris integrifolia,Tephroseris integrifolia,Tephroseris integrifolia,7,6,4,8,3,0,0
434,Teucrium chamaedrys,Teucrium chamaedrys,Teucrium chamaedrys,7,7,3,8,3,0,0
435,Thalictrum minus,Thalictrum minus,Thalictrum minus,6,7,3,8,3,0,0
436,Thesium dollineri,Thesium dollineri,Thesium dollineri,7,7,3,8,3,0,0
437,Thesium linophyllon,Thesium linophyllon,Thesium linophyllon,7,7,3,8,3,0,0
438,Thesium ramosum,Thesium ramosum,Thesium ramosum,7,7,3,8,3,0,0
439,Thesium sp.,Thesium sp.,NA,NA,NA,NA,NA,NA,NA,0
440,Thlaspi perfoliatum,Thlaspi perfoliatum,Microthlaspi perfoliatum,8,6,4,8,4,0,0
441,Thymus cf. pannonicus,Thymus pannonicus agg.,Thymus pannonicus agg.,8,7,3,7,3,0,0
442,Thymus cf. praecox,Thymus praecox,Thymus praecox,8,6,2,7,2,0,0
443,Thymus glabrescens,Thymus glabrescens,Thymus glabrescens,8,7,2,8,3,0,0
444,Thymus pannonicus,Thymus pannonicus agg.,Thymus pannonicus agg.,8,7,3,7,3,0,0
445,Thymus pannonicus agg.,Thymus pannonicus agg.,Thymus pannonicus agg.,8,7,3,7,3,0,0
446,Thymus praecox,Thymus praecox,Thymus praecox,8,6,2,7,2,0,0
447,Thymus pulegioides,Thymus pulegioides,Thymus pulegioides,7,6,4,6,3,0,0
448,Tragopogon cf. dubius,Tragopogon dubius,Tragopogon dubius,8,7,4,7,5,0,0
449,Tragopogon dubius,Tragopogon dubius,Tragopogon dubius,8,7,4,7,5,0,0
450,Tragopogon orientalis,Tragopogon pratensis agg.,Tragopogon pratensis agg.,7,5,5,7,6,0,0
451,Tragopogon pratensis agg.,Tragopogon pratensis agg.,Tragopogon pratensis agg.,7,5,5,7,6,0,0
452,Trifolium alpestre,Trifolium alpestre,Trifolium alpestre,7,6,3,7,3,0,0
453,Trifolium arvense,Trifolium arvense,Trifolium arvense,8,5,3,4,2,0,0
454,Trifolium campestre,Trifolium campestre,Trifolium campestre,8,6,4,6,4,1,0
455,Trifolium dubium,Trifolium dubium,Trifolium dubium,6,6,5,6,5,1,0
456,Trifolium medium/pratense,Trifolium pratense,Trifolium pratense,7,5,5,7,6,1,0
457,Trifolium montanum,Trifolium montanum,Trifolium montanum,7,6,3,8,3,0,0
458,Trifolium repens,Trifolium repens,Trifolium repens,7,5,5,6,6,1,0
459,Trisetum flavescens,Trisetum flavescens,Trisetum flavescens,7,5,5,6,5,0,0
460,Urtica dioica,Urtica dioica,Urtica dioica,5,5,6,7,9,1,0
461,Valeriana officinalis agg.,Valeriana officinalis agg.,Valeriana officinalis agg.,7,5,6,7,6,1,0
462,Valerianella locusta,Valerianella locusta,Valerianella locusta,7,6,4,7,6,0,0
463,Valerianella sp.,Valerianella sp.,NA,NA,NA,NA,NA,NA,NA,0
464,Verbascum cf. chaixii,Verbascum chaixii,Verbascum chaixii,7,6,3,7,5,0,0
465,Verbascum cf. lychnitis,Verbascum lychnitis,Verbascum lychnitis,7,6,3,7,5,0,0
466,Verbascum chaixii,Verbascum chaixii,Verbascum chaixii,7,6,3,7,5,0,0
467,Verbascum lychnitis,Verbascum lychnitis,Verbascum lychnitis,7,6,3,7,5,0,0
468,Verbascum phoeniceum,Verbascum phoeniceum,Verbascum phoeniceum,8,7,3,7,3,0,0
469,Verbascum sp.,Verbascum sp.,NA,NA,NA,NA,NA,NA,NA,0
470,Veronica arvensis,Veronica arvensis,Veronica arvensis,7,6,5,6,6,0,0
471,Veronica austriaca,Veronica austriaca,Veronica austriaca,8,7,3,8,3,0,0
472,Veronica chamaedrys agg.,Veronica chamaedrys agg.,Veronica chamaedrys agg.,6,5,5,7,6,0,0
473,Veronica polita,Veronica polita,Veronica polita,7,6,4,7,7,0,0
474,Veronica prostrata,Veronica prostrata,Veronica prostrata,8,7,2,8,3,0,0
475,Veronica spicata,Veronica spicata,Veronica spicata,7,6,3,7,2,0,0
476,Veronica teucrium,Veronica teucrium,Veronica teucrium,7,6,3,7,4,0,0
477,Veronica verna,Veronica verna agg.,Veronica verna agg.,8,7,2,4,2,0,0
478,Veronica verna agg.,Veronica verna agg.,Veronica verna agg.,8,7,2,4,2,0,0
479,Veronica vindobonensis,Veronica chamaedrys agg.,Veronica chamaedrys agg.,6,5,5,7,6,0,0
480,Viburnum lantana,Viburnum lantana,Viburnum lantana,7,7,4,7,5,0,1
481,Viburnum opulus,Viburnum opulus,Viburnum opulus,6,5,6,7,6,0,1
482,Vicia angustifolia,Vicia angustifolia,Vicia angustifolia,7,6,4,5,5,0,0
483,Vicia cf. angustifolia,Vicia angustifolia,Vicia angustifolia,7,6,4,5,5,0,0
484,Vicia cracca,Vicia cracca,Vicia cracca,7,5,5,6,5,1,0
485,Vicia hirsuta,Vicia hirsuta,Vicia hirsuta,7,6,4,5,5,0,0
486,Vicia lathyroides,Vicia lathyroides,Vicia lathyroides,8,7,3,5,3,0,0
487,Vicia tenuifolia,Vicia tenuifolia,Vicia tenuifolia,7,6,4,8,4,0,0
488,Vicia tetrasperma,Vicia tetrasperma,Vicia tetrasperma,7,6,4,5,5,0,0
489,Vincetoxicum hirundinaria,Vincetoxicum hirundinaria,Vincetoxicum hirundinaria,6,6,3,7,3,0,0
490,Viola ambigua,Viola ambigua,Viola ambigua,7,7,3,8,3,0,0
491,Viola arvensis,Viola arvensis,Viola arvensis,7,5,5,6,6,0,0
492,Viola cf. ambigua,Viola ambigua,Viola ambigua,7,7,3,8,3,0,0
493,Viola cf. arvensis,Viola arvensis,Viola arvensis,7,5,5,6,6,0,0
494,Viola cf. riviniana,Viola riviniana agg.,Viola riviniana agg.,3,5,5,7,6,0,0
495,Viola cf. rupestris,Viola rupestris,Viola rupestris,7,6,3,8,2,0,0
496,Viola cf. suavis,Viola suavis,Viola suavis,6,7,5,7,6,0,0
497,Viola hirta,Viola hirta,Viola hirta,6,5,3,8,3,0,0
498,Viola odorata,Viola odorata,Viola odorata,5,6,5,7,7,0,0
499,Viola riviniana agg.,Viola riviniana agg.,Viola riviniana agg.,3,5,5,7,6,0,0
500,Viola rupestris,Viola rupestris,Viola rupestris,7,6,3,8,2,0,0
501,Viola sp.,Viola sp.,NA,NA,NA,NA,NA,NA,NA,0
502,Viola tricolor,Viola tricolor,Viola tricolor,7,5,4,4,5,0,0
503,Viscaria vulgaris,Viscaria vulgaris,Viscaria vulgaris,7,6,3,4,3,0,0
